Planet Name,Type,Mass (Earth),Orbit Radius (AU),Discovery Year,Discovered By
Planet-1,Terrestrial,945.18,91.744,1921,Hubble
Planet-2,Terrestrial,919.97,87.902,1907,Voyager
Planet-3,Dwarf Planet,879.34,9.147,1905,Kepler
Planet-4,Gas Giant,664.36,2.905,2009,James Webb
Planet-5,Terrestrial,840.21,55.913,1963,James Webb
Planet-6,Ice Giant,989.44,9.573,1907,Kepler
Planet-7,Ice Giant,671.56,1.003,1905,Hubble
Planet-8,Gas Giant,528.12,1.838,1993,Ground Telescope
Planet-9,Dwarf Planet,334.16,53.332,1905,JWST
Planet-10,Dwarf Planet,398.18,42.765,1925,TESS
Planet-11,Ice Giant,66.7,47.279,1904,Spitzer
Planet-12,Dwarf Planet,654.62,14.467,1936,Voyager
Planet-13,Dwarf Planet,921.12,99.959,1908,Spitzer
Planet-14,Exoplanet,293.43,91.039,1960,TESS
Planet-15,Gas Giant,578.4,24.51,2024,Galileo
Planet-16,Ice Giant,49.91,75.624,2005,Spitzer
Planet-17,Gas Giant,546.61,23.919,1998,Chandra
Planet-18,Dwarf Planet,435.06,66.493,1919,TESS
Planet-19,Exoplanet,131.54,31.131,1942,Galileo
Planet-20,Exoplanet,909.45,46.395,2007,JWST
Planet-21,Gas Giant,31.61,49.916,1916,Galileo
Planet-22,Gas Giant,917.26,37.489,2019,James Webb
Planet-23,Gas Giant,300.82,59.472,1956,James Webb
Planet-24,Dwarf Planet,689.23,77.467,1981,James Webb
Planet-25,Terrestrial,261.68,21.907,1904,Spitzer
Planet-26,Gas Giant,789.31,97.406,2014,Ground Telescope
Planet-27,Terrestrial,34.26,9.998,1986,Voyager
Planet-28,Exoplanet,394.29,18.65,1964,Spitzer
Planet-29,Terrestrial,8.01,31.355,1975,Voyager
Planet-30,Dwarf Planet,436.62,52.119,1908,Voyager
Planet-31,Ice Giant,816.0,47.99,1946,Galileo
Planet-32,Dwarf Planet,703.35,23.431,1938,Ground Telescope
Planet-33,Dwarf Planet,401.94,66.854,2025,Kepler
Planet-34,Ice Giant,310.33,64.113,1936,Galileo
Planet-35,Dwarf Planet,480.36,93.121,1900,James Webb
Planet-36,Gas Giant,866.8,77.476,2009,James Webb
Planet-37,Terrestrial,143.46,41.782,1920,TESS
Planet-38,Terrestrial,19.58,77.02,1982,Spitzer
Planet-39,Gas Giant,319.65,20.059,2024,Galileo
Planet-40,Exoplanet,55.76,36.663,1973,Kepler
Planet-41,Exoplanet,430.99,80.45,1929,James Webb
Planet-42,Gas Giant,323.95,92.662,2011,Hubble
Planet-43,Ice Giant,150.32,0.466,1947,Hubble
Planet-44,Gas Giant,892.3,4.946,2008,Chandra
Planet-45,Ice Giant,615.96,3.801,1992,Galileo
Planet-46,Gas Giant,806.2,75.824,1941,TESS
Planet-47,Ice Giant,491.19,18.663,1991,Ground Telescope
Planet-48,Gas Giant,738.61,21.464,2025,Hubble
Planet-49,Dwarf Planet,466.7,91.71,1947,Spitzer
Planet-50,Exoplanet,362.48,67.079,2024,Voyager
Planet-51,Exoplanet,773.58,3.259,1915,Hubble
Planet-52,Terrestrial,198.56,2.232,1910,Ground Telescope
Planet-53,Terrestrial,298.02,40.951,1962,TESS
Planet-54,Terrestrial,784.86,57.041,1949,Chandra
Planet-55,Ice Giant,479.79,43.349,1937,Kepler
Planet-56,Exoplanet,426.61,1.63,1917,Ground Telescope
Planet-57,Terrestrial,893.26,30.321,1941,Kepler
Planet-58,Terrestrial,575.35,18.941,1964,Spitzer
Planet-59,Exoplanet,418.26,95.68,1938,Kepler
Planet-60,Ice Giant,873.99,73.001,1965,Chandra
Planet-61,Exoplanet,746.08,19.039,1997,Ground Telescope
Planet-62,Ice Giant,99.09,30.575,1912,James Webb
Planet-63,Exoplanet,368.65,31.495,1978,Chandra
Planet-64,Ice Giant,839.03,47.354,2001,TESS
Planet-65,Dwarf Planet,733.79,79.353,1953,Galileo
Planet-66,Dwarf Planet,196.9,63.736,2018,James Webb
